iOS case,Android case,iOS Status,Android Status,Comment
ActiveObjectTestCase,,?,,
AirwayTestCase,,?,,
,ArealTestCase,,?,
,AutoRotateTestCase,,?,
AnimatedBasemapTestCase,AnimatedBaseMapTestCase,?,?,
AnimatedMarkersTestCase,AnimatedMarkersTestCase,?,?,
,AnimatedScreenMarkersTestCase,,?,
AnimationDelegateTestCase,AnimationDelegateTestCase,?,?,
BillboardTestCase,BillboardTestCase,?,?,
BNGCustomMapTestCase,CustomBNGCoordAdapter,?,?,
BNGTestCase,CustomBNGTileSource,?,?,
,BoundsTestCase,,?,
CartoDBLightTestCase,CartoLightTestCase,?,?,
CartoDBTestCase,CartoTestCase,?,?,Needs QuadPagingLayer
,ComponentObjectLeakTestCase,,?,
,CoordConversionTestCase,,?,
ChangeVectorsTestCase,,?,,
ClusteredMarkersTestCase,ClusteredMarkersTestCase,?,?,
ExtrudedModelTestCase,,?,,
FindHeightTestCase,FindHeightTestCase,?,?,
GeographyClass,GeographyClass,?,?,
,GeomPointsTestCase,,?,
,GestureFeedbackTestCase,,âœ“,
GeoJSONStyleTestCase,,?,,Text looks wrong.  Too blocky.
GlobeSamplerTestCase,,?,,
GlyphProblemTestCase,,?,,
GreatCircleTestCase,GreatCircleTestCase,?,?,
ImageReloadTestCase,ImageReloadTestCase,?,?,
,ImageSingleLevelTestCase,,?,
Issue721TestCase,,?,,
LabelAnimationTestCase,,?,,
LabelsTestCase,,?,,3D Labels broken.  Probably going to remove them.
LayerStartupShutdownTestCase,LayerShutdownTestCase,?,?,
LIDARTestCase,,?,,Porting
,LightingTestCase,,?,
LocationTrackingRealTestCase,LocationTrackingRealTestCase,?,?,
LocationTrackingSimTestCase,LocationTrackingSimTestCase,?,?,Has occasional shutdown problems.  Timer keeps going.
LoftedPolysTestCase,LoftedPolyTestCase,?,?,
MapboxTestCase,,?,,
MaplyTestCase,,?,,
MapTilerCircleTestCase,MapTilerCircleTestCase,?,?,
MapTilerTestCase,MapTilerTestCase,?,?,
MarkersTestCase,MarkersTestCase,?,?,Locations seem off sometimes
,MarkersAndLinesTestCase,?,?,
MegaMarkersTestCase,,?,,
ModelsTestCase,,?,,
MovingScreenLabelsTestCase,,?,,
MovingScreenMarkersTestCase,MovingScreenMarkersTestCase,?,?,
NASAGIBSTestCase,,?,,
NASAGIBSTestCase,,?,,
OfflineRenderTestCase,,?,,
OpenMapTilesHybridTestCase,OpenMapTilesHybridTestCase,?,?,Needs snapshot functionality
PagingLayerTestCase,PagingLayerTestCase,?,?,Needs QuadPagingLayer
ParticleTestCase,,?,,Needs QuadPagingLayer
RepresentationsTestCase,,?,,
RunwayBuilderTestCase,,?,,
ScreenLabelsTestCase,ScreenLabelsTestCase,?,?,Layout manager not quite right.  Could be layout size.
ScreenMarkersTestCase,ScreenMarkersTestCase,?,?,
ShapefileTestCase,ShapefileTestCase,?,?,
ShapesTestCase,ShapesTestCase,?,?,Not working for 2D map (probably z buffer)
SimpleStyleTestCase,SimpleStyleTestCase,?,?,
,SLDTestCase,,?,
StamenWatercolorRemote,StamenRemoteTestCase,?,?,
StarsSunTestCase,MaplyStarModelTestCase,?,?,Atmosphere not showing up
StartupShutdownTestCase,StartupShutdownTestCase,?,?,
StickersTestCase,StickersTestCase,?,?,SphericalChunkManager turned off
TextureVectorTestCase,TextureVectorTestCase,?,?,
VectorHoleTestCase,VectorHoleTestCase,?,?,
VectorMBTilesTestCase,VectorMBTilesTestCase,?,?,Needs QuadPagingLayer
VectorsTestCase,VectorsTestCase,?,?,
VectorStyleTestCase,VectorStyleTestCase,?,?,
WideVectorsTestCase,WideVectorsTestCase,?,?,Are the label rotations right?
WMSTestCase,,?,,